total_days,total_hours,total_minutes,tumor_radius,num_cells,num_tumor_cells,tumor_cells_type1,tumor_cells_type2,tumor_cells_type3,tumor_cells_type4,tumor_cells_type5_dead,num_alive_cart,num_dead_cart,average_oncoprotein,average_oxygen_cancer_cells,average_oxygen_all_cells,average_glucose_cancer_cells,average_glucose_all_cells
2.45833,59,3540,2999.96,28000,28000,0,27437,0,0,563,0,0,1,39.7236,39.7236,4.23923,4.23923
2.5,60,3600,2999.96,28000,28000,0,27393,0,0,607,0,0,1,39.7625,39.7625,4.11471,4.11471
2.54167,61,3660,2999.96,28000,28000,0,27352,0,0,648,0,0,1,39.8009,39.8009,3.9939,3.9939
2.58333,62,3720,2999.96,28000,28000,0,27318,0,0,682,0,0,1,39.8334,39.8334,3.87669,3.87669
2.625,63,3780,2999.96,28000,28000,0,27270,0,0,730,0,0,1,39.8781,39.8781,3.76298,3.76298
2.66667,64,3840,2999.96,28000,28000,0,27213,0,0,787,0,0,1,39.9247,39.9247,3.65266,3.65266
2.70833,65,3900,2999.96,28000,28000,0,27151,0,0,849,0,0,1,39.9817,39.9817,3.54567,3.54567
2.75,66,3960,2999.96,28000,28000,0,27094,0,0,906,0,0,1,40.0313,40.0313,3.44189,3.44189
2.79167,67,4020,2999.96,28000,28000,0,27038,0,0,962,0,0,1,40.0913,40.0913,3.34123,3.34123
2.83333,68,4080,2999.96,28000,28000,0,26975,0,0,1025,0,0,1,40.1407,40.1407,3.24357,3.24357
2.875,69,4140,2999.96,28000,28000,0,26917,0,0,1083,0,0,1,40.1945,40.1945,3.14883,3.14883
2.91667,70,4200,2999.96,28000,28000,0,26841,0,0,1159,0,0,1,40.2591,40.2591,3.05694,3.05694
2.95833,71,4260,2999.96,28000,28000,0,26759,0,0,1241,0,0,1,40.3333,40.3333,2.96783,2.96783
3,72,4320,2999.96,28000,28000,0,26687,0,0,1313,0,0,1,40.4014,40.4014,2.88139,2.88139
